fips,state,name,harris_2024,trump_2024,total_2024,biden_2020,trump_2020,total_2020,margin_2024,margin_2020,pct_white_2020,pct_black_2020,pct_hispanic_2020,pct_asian_2020
01001,AL,Autauga County,7439,20484,28281,7503,19838,27770,-46.72,-45.12,70.7,19.5,3.6,1.5
01003,AL,Baldwin County,24934,95798,122249,24578,83544,109679,-58.7,-54.54,80.5,7.9,5.5,0.9
01005,AL,Barbour County,4158,5606,9855,4816,5622,10518,-14.83,-7.72,44.0,47.3,6.0,0.5
01007,AL,Bibb County,1619,7572,9257,1986,7525,9595,-64.77,-58.24,73.8,19.8,3.3,0.1
01009,AL,Blount County,2576,25354,28163,2640,24711,27588,-81.55,-80.7,84.2,1.4,9.8,0.3
01011,AL,Bullock County,2983,1101,4111,3446,1146,4613,46.08,50.09,22.0,71.4,4.9,0.1
01013,AL,Butler County,3251,5172,8480,3965,5458,9488,-22.81,-15.84,50.8,44.2,1.4,0.8
01015,AL,Calhoun County,13194,34912,48653,15216,35101,50983,-45.15,-39.52,68.3,22.0,4.3,1.0
01017,AL,Chambers County,5405,8711,14245,6365,8753,15284,-23.42,-15.8,53.5,38.9,3.6,1.2
01019,AL,Cherokee County,1553,11358,13006,1624,10583,12301,-75.94,-73.39,90.4,4.0,1.6,0.2
01021,AL,Chilton County,2698,16920,19763,3073,16085,19310,-72.49,-67.92,77.5,9.0,9.8,0.4
01023,AL,Choctaw County,2515,4103,6656,3127,4296,7464,-24.0,-15.75,55.6,41.3,0.9,0.2
01025,AL,Clarke County,4927,6965,11958,5755,7324,13135,-17.14,-12.0,51.8,44.4,0.9,0.4
01027,AL,Clay County,993,5734,6767,1267,5601,6930,-70.48,-63.1,79.1,13.8,3.2,0.3
01029,AL,Cleburne County,605,6988,7651,675,6484,7227,-84.06,-81.14,91.3,3.1,1.9,0.1
01031,AL,Coffee County,4601,17495,22319,5076,16899,22275,-58.35,-53.8,66.9,16.4,9.1,1.7
01033,AL,Colbert County,7137,19714,27160,8343,19203,27886,-46.84,-39.42,75.6,16.2,3.0,0.8
01035,AL,Conecuh County,2580,3423,6051,2966,3442,6441,-14.04,-7.43,50.3,44.0,2.2,0.3
01037,AL,Coosa County,1478,3758,5268,1796,3631,5479,-43.54,-33.81,65.5,29.0,1.9,0.1
01039,AL,Covington County,2314,14677,17095,2721,14586,17430,-72.76,-68.56,81.6,12.3,1.7,0.6
01041,AL,Crenshaw County,1457,5000,6486,1700,4864,6617,-54.87,-48.2,70.7,23.5,1.4,0.6
01043,AL,Cullman County,4039,38704,43146,4478,36880,41851,-81.1,-78.35,89.1,1.1,4.7,0.6
01045,AL,Dale County,4484,14476,19139,5170,14303,19738,-52.7,-46.9,66.1,20.8,6.6,1.4
01047,AL,Dallas County,10236,5190,15547,12230,5524,17864,32.71,37.77,26.9,69.9,0.8,0.4
01049,AL,DeKalb County,3758,25633,29660,4281,24767,29356,-74.43,-70.52,76.1,1.5,16.4,0.4
01051,AL,Elmore County,9774,31374,41624,10367,30164,41030,-52.49,-48.84,71.1,20.7,3.2,0.8
01053,AL,Escambia County,3964,10884,14957,4918,10869,15910,-46.61,-37.7,59.9,29.9,2.0,0.3
01055,AL,Etowah County,10027,35653,46137,11567,35528,47728,-56.1,-50.88,75.1,14.6,4.7,0.9
01057,AL,Fayette County,1142,7158,8369,1395,7300,8766,-72.48,-67.91,83.0,10.6,2.4,0.3
01059,AL,Franklin County,1568,10417,12097,2086,10376,12578,-73.83,-66.52,73.4,3.6,19.5,0.2
01061,AL,Geneva County,1391,10929,12401,1595,10848,12545,-77.42,-74.36,81.2,8.4,4.9,0.3
01063,AL,Greene County,3133,885,4039,3884,875,4775,55.95,63.23,16.6,80.8,0.8,0.1
01065,AL,Hale County,3868,3369,7305,4687,3190,7922,6.9,19.0,40.4,56.4,1.0,0.2
01067,AL,Henry County,2263,6989,9320,2606,6607,9298,-51.08,-43.43,69.1,24.8,1.9,0.4
01069,AL,Houston County,11352,32469,44349,12917,32618,46173,-48.19,-43.27,63.7,26.5,4.2,1.2
01071,AL,Jackson County,3276,20073,23556,3717,19670,23636,-71.94,-68.21,85.8,3.1,3.2,0.4
01073,AL,Jefferson County,162112,131123,298704,181688,138843,325848,10.57,13.37,48.1,41.7,5.2,1.9
01075,AL,Lamar County,806,6033,6890,978,6174,7193,-76.43,-72.65,85.3,10.2,1.5,0.0
01077,AL,Lauderdale County,10326,32708,43637,11915,31721,44339,-52.01,-45.39,81.8,9.9,3.3,0.8
01079,AL,Lawrence County,2983,13024,16122,3562,12322,16031,-62.73,-55.15,74.7,10.0,2.7,0.3
01081,AL,Lee County,25798,46020,73127,27860,42221,71449,-28.16,-20.49,63.0,22.7,5.2,4.9
01083,AL,Limestone County,14581,37887,53332,13672,34640,49235,-44.42,-43.4,73.1,12.8,7.0,1.8
