district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population,source
AK-AL,58.33,2.97,7.15,6.33,25.22,31.24,24.31,39.82,6.94,28.94,22.25,28.76,31.38,17.61,35.6,89336.0,733971.0,ACS_2023_5yr
AL-01,67.08,23.66,3.26,1.51,4.49,26.74,20.79,48.21,5.95,25.05,18.5,24.21,33.06,24.23,41.2,65923.0,717754.0,DRA_VAP_NH_2020+ACS_tract_new_lines
AL-02,52.5,38.64,3.74,1.78,3.34,24.15,14.96,38.72,9.19,37.13,20.71,24.49,32.27,22.54,39.5,59491.0,717755.0,DRA_VAP_NH_2020+ACS_tract_new_lines
AL-03,71.76,19.83,3.12,1.78,3.52,23.47,18.59,55.32,4.87,21.22,21.37,23.32,32.72,22.58,40.3,61155.0,717754.0,DRA_VAP_NH_2020+ACS_tract_new_lines
AL-04,82.83,6.69,6.1,0.61,3.77,20.58,18.32,66.95,2.26,12.48,19.03,23.18,33.68,24.1,40.8,61156.0,717754.0,DRA_VAP_NH_2020+ACS_tract_new_lines
AL-05,70.27,17.2,5.3,1.88,5.35,35.53,27.05,45.65,8.47,18.82,19.67,25.01,34.12,21.21,40.3,82319.0,717754.0,DRA_VAP_NH_2020+ACS_tract_new_lines
AL-06,71.65,18.48,4.68,1.79,3.41,38.48,30.63,42.51,7.85,19.0,18.67,26.48,33.43,21.42,39.9,87907.0,717754.0,DRA_VAP_NH_2020+ACS_tract_new_lines
AL-07,42.7,49.51,3.66,1.36,2.77,25.02,13.74,28.23,11.28,46.74,24.86,23.13,30.42,21.59,38.7,55681.0,717754.0,DRA_VAP_NH_2020+ACS_tract_new_lines
AR-01,73.81,16.79,4.09,0.58,4.73,17.67,15.01,62.4,2.66,19.92,18.68,24.16,32.75,24.41,39.9,51951.0,753522.0,ACS_2023_5yr
AR-02,67.53,20.43,6.11,1.58,4.35,32.71,24.79,47.05,7.92,20.24,20.98,25.38,31.54,22.1,38.2,62987.0,755024.0,ACS_2023_5yr
AR-03,64.32,2.75,16.83,3.25,12.84,31.59,24.65,45.14,6.94,23.27,23.08,27.47,30.38,19.07,35.6,71397.0,770992.0,ACS_2023_5yr
AR-04,67.89,19.64,7.85,0.69,3.94,18.71,14.8,57.18,3.91,24.11,19.29,22.99,32.93,24.79,40.6,51058.0,753113.0,ACS_2023_5yr
AZ-01,69.5,3.49,16.77,4.4,5.84,51.28,41.0,33.54,10.28,15.17,17.3,24.01,33.26,25.43,43.4,95281.0,800544.0,ACS_2023_5yr
AZ-02,55.11,2.35,17.78,1.16,23.6,25.54,19.77,41.65,5.77,32.81,19.34,21.7,30.24,28.72,42.1,64884.0,811584.0,ACS_2023_5yr
AZ-03,19.73,10.06,63.21,2.14,4.86,19.32,9.24,16.07,10.08,64.61,28.41,30.78,29.27,11.53,31.1,64537.0,803591.0,ACS_2023_5yr
AZ-04,56.13,5.38,26.18,5.37,6.94,38.39,26.0,35.91,12.39,25.7,26.77,26.5,28.1,18.63,35.0,79335.0,803744.0,ACS_2023_5yr
AZ-05,67.0,3.41,17.89,5.69,6.01,40.22,29.13,42.19,11.09,17.59,17.45,27.37,33.31,21.88,38.8,105750.0,812986.0,ACS_2023_5yr
AZ-06,62.67,3.45,24.99,2.9,5.99,38.9,29.66,38.86,9.24,22.24,17.83,21.15,29.15,31.87,44.5,75244.0,798431.0,ACS_2023_5yr
AZ-07,29.1,3.36,60.06,1.8,5.69,21.6,11.64,22.93,9.96,55.47,27.21,25.31,28.48,18.99,34.0,58120.0,804461.0,ACS_2023_5yr
AZ-08,63.93,3.92,21.47,4.72,5.96,32.21,24.14,46.19,8.07,21.59,16.79,23.17,31.21,28.83,43.0,79643.0,796518.0,ACS_2023_5yr
