district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population,source
AK-AL,58.33,2.97,7.15,6.33,25.22,31.24,24.31,39.82,6.94,28.94,22.25,28.76,31.38,17.61,35.6,89336,733971,ACS_2023_5yr
AL-01,64.35,26.25,3.91,1.52,3.98,26.58,20.54,47.31,6.04,26.12,18.58,24.1,33.17,24.15,40.5,61488,724287,ACS_2023_5yr_old_lines
AL-02,59.46,30.75,4.52,1.7,3.57,25.29,17.55,46.04,7.74,28.68,19.76,24.7,32.67,22.87,39.0,59954,717019,ACS_2023_5yr_old_lines
AL-03,67.18,24.14,3.83,1.4,3.45,23.5,17.74,51.91,5.76,24.58,21.9,23.29,32.59,22.23,39.3,58158,721038,ACS_2023_5yr_old_lines
AL-04,81.06,7.11,7.72,0.55,3.55,19.12,16.9,68.03,2.22,12.85,18.45,23.32,34.07,24.17,40.9,57065,721519,ACS_2023_5yr_old_lines
AL-05,69.56,17.46,6.72,1.8,4.45,36.12,27.72,45.67,8.4,18.21,19.86,24.76,34.0,21.38,39.7,75486,732520,ACS_2023_5yr_old_lines
AL-06,68.81,20.04,6.41,1.69,3.05,39.24,31.14,41.53,8.1,19.23,18.26,26.64,33.53,21.56,39.2,79908,714716,ACS_2023_5yr_old_lines
AL-07,36.31,55.75,4.49,1.17,2.27,24.12,12.49,24.98,11.63,50.9,25.92,23.05,29.7,21.33,36.6,48204,723154,ACS_2023_5yr_old_lines
AR-01,73.81,16.79,4.09,0.58,4.73,17.67,15.01,62.4,2.66,19.92,18.68,24.16,32.75,24.41,39.9,51951,753522,ACS_2023_5yr
AR-02,67.53,20.43,6.11,1.58,4.35,32.71,24.79,47.05,7.92,20.24,20.98,25.38,31.54,22.1,38.2,62987,755024,ACS_2023_5yr
AR-03,64.32,2.75,16.83,3.25,12.84,31.59,24.65,45.14,6.94,23.27,23.08,27.47,30.38,19.07,35.6,71397,770992,ACS_2023_5yr
AR-04,67.89,19.64,7.85,0.69,3.94,18.71,14.8,57.18,3.91,24.11,19.29,22.99,32.93,24.79,40.6,51058,753113,ACS_2023_5yr
AZ-01,69.5,3.49,16.77,4.4,5.84,51.28,41.0,33.54,10.28,15.17,17.3,24.01,33.26,25.43,43.4,95281,800544,ACS_2023_5yr
AZ-02,55.11,2.35,17.78,1.16,23.6,25.54,19.77,41.65,5.77,32.81,19.34,21.7,30.24,28.72,42.1,64884,811584,ACS_2023_5yr
AZ-03,19.73,10.06,63.21,2.14,4.86,19.32,9.24,16.07,10.08,64.61,28.41,30.78,29.27,11.53,31.1,64537,803591,ACS_2023_5yr
AZ-04,56.13,5.38,26.18,5.37,6.94,38.39,26.0,35.91,12.39,25.7,26.77,26.5,28.1,18.63,35.0,79335,803744,ACS_2023_5yr
AZ-05,67.0,3.41,17.89,5.69,6.01,40.22,29.13,42.19,11.09,17.59,17.45,27.37,33.31,21.88,38.8,105750,812986,ACS_2023_5yr
AZ-06,62.67,3.45,24.99,2.9,5.99,38.9,29.66,38.86,9.24,22.24,17.83,21.15,29.15,31.87,44.5,75244,798431,ACS_2023_5yr
AZ-07,29.1,3.36,60.06,1.8,5.69,21.6,11.64,22.93,9.96,55.47,27.21,25.31,28.48,18.99,34.0,58120,804461,ACS_2023_5yr
AZ-08,63.93,3.92,21.47,4.72,5.96,32.21,24.14,46.19,8.07,21.59,16.79,23.17,31.21,28.83,43.0,79643,796518,ACS_2023_5yr
AZ-09,57.07,4.1,31.05,1.96,5.82,22.59,15.79,48.3,6.79,29.12,17.93,24.17,31.17,26.73,40.7,76350,836316,ACS_2023_5yr
CA-01,62.17,1.79,23.11,5.69,7.24,23.26,17.64,50.12,5.63,26.62,21.13,24.77,30.14,23.97,38.2,69110,762487,ACS_2023_5yr_old_lines
CA-02,66.02,1.53,20.61,3.95,7.88,42.39,34.25,37.24,8.14,20.37,16.1,22.11,34.06,27.73,44.8,96195,758158,ACS_2023_5yr_old_lines
CA-03,69.22,1.61,14.84,7.59,6.75,40.76,30.29,42.98,10.47,16.26,14.94,24.45,33.65,26.96,43.6,103981,770955,ACS_2023_5yr_old_lines
CA-04,51.16,2.8,32.01,8.09,5.93,35.66,24.77,33.52,10.89,30.82,22.04,24.2,30.25,23.51,39.3,95443,763128,ACS_2023_5yr_old_lines
CA-05,59.67,2.14,26.41,5.84,5.94,30.77,21.66,43.71,9.11,25.52,16.91,24.07,32.69,26.33,41.6,90061,764588,ACS_2023_5yr_old_lines
CA-06,47.9,8.93,23.04,12.05,8.09,29.95,17.17,36.01,12.78,34.03,20.57,28.93,31.21,19.29,36.6,83626,755796,ACS_2023_5yr_old_lines
CA-07,31.83,9.81,27.19,22.59,8.58,34.2,16.0,20.87,18.2,44.93,20.95,29.12,31.0,18.93,36.9,90495,757893,ACS_2023_5yr_old_lines
CA-08,24.49,13.87,36.32,17.62,7.69,29.94,11.24,17.64,18.7,52.41,20.11,27.6,32.18,20.11,38.6,96779,751024,ACS_2023_5yr_old_lines
CA-09,29.08,6.64,42.13,16.58,5.57,21.59,9.2,25.47,12.39,52.94,21.95,28.01,31.65,18.39,35.4,88713,767049,ACS_2023_5yr_old_lines
CA-10,47.45,5.13,17.94,22.3,7.18,55.21,29.86,22.33,25.35,22.46,16.17,26.35,35.63,21.85,41.0,152089,756742,ACS_2023_5yr_old_lines
CA-11,41.48,5.05,14.59,31.35,7.54,64.24,34.6,9.3,29.63,26.46,19.1,32.98,28.37,19.55,39.2,144015,723466,ACS_2023_5yr_old_lines
CA-12,33.4,15.14,23.61,20.04,7.81,53.59,27.92,9.17,25.66,37.24,21.8,30.25,29.21,18.75,37.8,105647,746726,ACS_2023_5yr_old_lines
CA-13,21.62,2.83,65.7,6.39,3.45,13.74,5.98,21.19,7.77,65.06,25.21,28.86,30.34,15.59,31.9,67615,779049,ACS_2023_5yr_old_lines
CA-14,25.5,5.48,24.62,38.34,6.07,47.06,13.54,14.79,33.52,38.16,16.52,29.78,34.4,19.3,39.8,139901,743389,ACS_2023_5yr_old_lines
CA-15,28.27,2.37,26.05,36.92,6.39,48.2,18.62,12.17,29.58,39.64,17.41,28.37,33.31,20.92,40.5,145326,742872,ACS_2023_5yr_old_lines
CA-16,42.48,2.0,19.47,29.92,6.14,62.71,32.66,13.76,30.05,23.53,18.14,26.1,34.21,21.54,40.4,170331,745878,ACS_2023_5yr_old_lines
CA-17,20.81,2.08,16.07,56.23,4.81,63.35,13.97,9.03,49.37,27.63,21.09,32.32,30.65,15.94,36.6,176832,745398,ACS_2023_5yr_old_lines
CA-18,18.08,2.01,65.47,11.25,3.19,23.93,9.17,13.36,14.76,62.71,23.99,28.7,31.17,16.14,34.4,100769,756539,ACS_2023_5yr_old_lines
CA-19,48.85,1.81,24.74,18.64,5.96,47.16,28.39,25.47,18.77,27.36,20.15,23.42,32.64,23.79,41.3,123362,747226,ACS_2023_5yr_old_lines
CA-20,48.62,3.4,34.84,7.62,5.52,28.84,17.24,37.69,11.61,33.46,20.85,28.27,31.1,19.78,35.4,88149,770763,ACS_2023_5yr_old_lines
CA-21,18.8,4.44,64.33,9.25,3.19,16.48,6.72,16.98,9.77,66.53,25.04,30.32,28.85,15.79,31.6,62084,757752,ACS_2023_5yr_old_lines
