fips,state,name,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population,source
01001,AL,Autauga County,71.68,19.95,3.69,1.01,3.66,28.28,21.19,53.09,7.09,18.63,18.44,25.87,34.8,20.89,39.2,69841,59285,ACS_2023_5yr
01003,AL,Baldwin County,81.41,7.94,5.58,0.94,4.12,32.8,29.57,54.96,3.23,12.25,15.66,22.75,34.42,27.18,43.7,75019,239945,ACS_2023_5yr
01005,AL,Barbour County,43.65,46.9,6.02,0.55,2.88,11.46,8.96,38.69,2.51,49.85,18.57,24.63,31.87,24.93,40.7,44290,24757,ACS_2023_5yr
01007,AL,Bibb County,73.73,20.7,3.36,0.23,1.98,11.47,9.65,65.06,1.81,23.47,18.88,25.96,33.94,21.23,41.3,51215,22152,ACS_2023_5yr
01009,AL,Blount County,84.96,1.26,10.06,0.09,3.64,15.58,14.73,73.5,0.84,10.92,17.91,23.15,34.75,24.19,40.9,61096,59292,ACS_2023_5yr
01011,AL,Bullock County,21.1,71.22,5.68,0.46,1.54,9.0,3.96,21.13,5.04,69.87,19.09,23.31,35.03,22.57,40.4,36723,10157,ACS_2023_5yr
01013,AL,Butler County,50.68,44.72,1.6,1.32,1.68,13.76,9.81,44.2,3.95,42.04,16.86,22.73,32.81,27.6,42.2,44881,18807,ACS_2023_5yr
01015,AL,Calhoun County,69.83,21.55,4.43,0.74,3.45,20.55,16.92,57.41,3.63,22.05,21.86,23.38,31.83,22.93,39.0,55826,116141,ACS_2023_5yr
01017,AL,Chambers County,53.92,39.72,3.69,0.58,2.09,14.59,9.36,47.16,5.23,38.25,18.61,21.71,34.47,25.21,41.5,49295,34450,ACS_2023_5yr
01019,AL,Cherokee County,90.72,3.73,1.73,0.13,3.68,15.95,14.73,77.26,1.22,6.8,14.88,19.98,35.82,29.32,47.4,50769,25224,ACS_2023_5yr
01021,AL,Chilton County,77.1,9.15,9.87,0.49,3.39,15.25,12.75,68.05,2.5,16.7,19.01,24.92,33.81,22.26,39.5,61873,45500,ACS_2023_5yr
01023,AL,Choctaw County,56.56,38.14,1.09,0.18,4.04,13.91,9.1,47.59,4.81,38.5,15.61,19.01,35.66,29.72,47.0,44483,12525,ACS_2023_5yr
01025,AL,Clarke County,51.2,45.35,1.14,0.31,2.0,15.43,11.36,42.98,4.06,41.59,18.0,21.41,34.24,26.34,42.5,49167,22802,ACS_2023_5yr
01027,AL,Clay County,79.33,12.97,3.18,0.33,4.19,15.24,13.94,67.87,1.3,16.89,16.61,22.0,35.54,25.85,43.8,51852,14188,ACS_2023_5yr
01029,AL,Cleburne County,92.55,3.92,2.01,0.1,1.42,18.21,16.85,75.05,1.36,6.74,16.83,22.63,34.41,26.13,42.3,53319,15254,ACS_2023_5yr
01031,AL,Coffee County,67.91,15.9,9.4,0.93,5.87,21.53,16.82,54.5,4.71,23.97,18.4,25.97,33.11,22.52,38.8,64672,54231,ACS_2023_5yr
01033,AL,Colbert County,77.45,15.79,3.28,0.4,3.08,20.27,16.64,63.21,3.63,16.52,17.13,23.37,33.91,25.59,42.3,56736,57648,ACS_2023_5yr
01035,AL,Conecuh County,50.07,45.41,0.89,0.24,3.4,13.13,8.96,45.15,4.17,41.73,15.97,20.18,33.38,30.46,46.3,42266,11411,ACS_2023_5yr
