district,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population_acs,source
CA-01,28.51,22.53,44.91,5.99,26.57,19.97,24.14,30.74,25.16,41.3,83183,765487,ACS_2023_tract_to_new_lines
CA-02,39.81,32.48,43.15,7.33,17.04,15.86,21.95,33.58,28.61,45.2,99999,765001,ACS_2023_tract_to_new_lines
CA-03,37.33,26.37,36.35,10.96,26.32,17.5,25.91,32.39,24.2,42.1,97694,763291,ACS_2023_tract_to_new_lines
CA-04,32.75,21.96,35.36,10.8,31.89,22.62,24.35,30.39,22.63,39.3,96620,758116,ACS_2023_tract_to_new_lines
CA-05,28.56,19.45,42.12,9.11,29.33,17.83,25.14,32.36,24.68,41.1,91606,770847,ACS_2023_tract_to_new_lines
CA-06,34.22,20.5,35.91,13.72,29.87,19.87,29.15,31.78,19.2,38.1,98520,757442,ACS_2023_tract_to_new_lines
CA-07,35.66,19.07,27.2,16.59,37.14,19.03,26.85,32.5,21.62,40.1,104216,758734,ACS_2023_tract_to_new_lines
CA-08,32.14,14.06,21.56,18.08,46.3,19.44,27.36,31.91,21.29,39.6,104871,764945,ACS_2023_tract_to_new_lines
CA-09,23.32,8.18,23.09,15.14,53.6,22.12,27.77,32.3,17.81,36.3,101500,762401,ACS_2023_tract_to_new_lines
CA-10,53.0,30.31,23.11,22.69,23.89,15.84,25.62,35.64,22.9,42.4,157751,759118,ACS_2023_tract_to_new_lines
CA-11,64.09,34.51,9.28,29.58,26.64,19.06,32.98,28.39,19.57,40.6,151067,759192,ACS_2023_tract_to_new_lines
CA-12,53.58,27.9,9.18,25.68,37.24,21.79,30.25,29.21,18.74,38.4,113792,758548,ACS_2023_tract_to_new_lines
CA-13,12.92,5.39,20.39,7.53,66.68,25.35,29.3,29.78,15.56,32.0,69907,758808,ACS_2023_tract_to_new_lines
