name,party,year,geography,war,war_text
AJ Peters,D,2024,MN-07,-1.3,R+1.3
Aaron Bashir,R,2022,PA-02,-7.7,D+7.7
Aaron Bean,R,2024,FL-04,-1.8,D+1.8
Aaron Paul Godfrey,D,2020,OH-16,-7.1,R+7.1
Aaron Schock,R,2014,IL-18,13.1,R+13.1
Aaron Swisher,D,2018,ID-02,5.4,D+5.4
Aaron Woolf,D,2014,NY-21,-11.6,R+11.6
Abby Finkenauer,D,2020,IA-01,-0.2,R+0.2
Abel Tapia,D,2014,CO-03,-4.0,R+4.0
Abigail Spanberger,D,2022,VA-07,2.4,D+2.4
Abraham Hamadeh,R,2024,AZ-08,-6.4,D+6.4
Ada Winfrey,D,2020,AL-03,1.8,D+1.8
Adair Boroughs,D,2020,SC-02,3.0,D+3
Adam Bell,D,2016,TX-03,5.0,D+5
Adam Christensen,D,2020,FL-03,2.0,D+2
Adam Frisch,D,2024,CO-03,6.3,D+6.3
Adam Gray,D,2024,CA-13,5.2,D+5.2
Adam Kinzinger,R,2020,IL-16,9.2,R+9.2
Adam Martin,D,2022,OK-01,-0.2,R+0.2
Adam Miller,D,2024,OH-15,1.3,D+1.3
Adam Nick,R,2014,CA-46,3.0,R+3.0
Adam Schiff,D,2020,CA-28,-2.4,R+2.4
Adam Smith,D,2022,WA-09,-2.8,R+2.8
Addul Ali,R,2024,NC-12,0.3,R+0.3
Adrian Smith,R,2024,NE-03,2.6,R+2.6
Adriano Espaillat,D,2024,NY-13,1.4,D+1.4
Adrienne Bell,D,2020,TX-14,0.8,D+0.8
Aelea Cristofferson,D,2014,OR-02,-26.8,R+26.8
Aftab Pureval,D,2018,OH-01,-2.5,R+2.5
Agha Khan,R,2018,NJ-10,-1.6,D+1.6
Agnes Gibboney,R,2020,CA-31,-1.4,D+1.4
Aimee Belgard,D,2014,NJ-03,-1.8,R+1.8
Aja Smith,R,2022,CA-39,5.5,R+5.5
Al Green,D,2022,TX-09,6.2,D+6.2
Al Hardwick,R,2016,MI-05,-8.7,D+8.7
Al Lawson,D,2022,FL-02,2.4,D+2.4
Al McAffrey,D,2016,OK-05,5.9,D+5.9
Alaina Shearer,D,2020,OH-12,-3.3,R+3.3
Alan Bohms,D,2016,TN-01,-4.2,R+4.2
Alan Cohn,D,2022,FL-15,-2.3,R+2.3
Alan Garza,R,2024,TX-29,-4.7,D+4.7
Alan Grayson,D,2014,FL-09,-12.0,R+12.0
Alan LaPolice,D,2018,KS-01,-0.0,D+0
Alan Lowenthal,D,2020,CA-47,-3.5,R+3.5
Alan Nunnelee,R,2014,MS-01,-1.2,D+1.2
Alan Rapoport,R,2024,OH-11,-4.1,D+4.1
Alan Swain,R,2024,NC-02,0.5,R+0.5
Alanna Hartzok,D,2014,PA-09,14.4,D+14.4
Albio Sires,D,2020,NJ-08,0.3,D+0.3
Alcee Hastings,D,2020,FL-20,0.5,D+0.5
Alejandro Vega,R,2016,NY-15,3.8,R+3.8
Alek Skarlatos,R,2022,OR-04,0.0,R+0
Alex Balekian,R,2024,CA-30,3.2,R+3.2
Alex Dodenhoff,R,2024,NY-10,-4.0,D+4
Alex Mooney,R,2022,WV-02,-7.6,D+7.6
Alex Spenser,D,2020,OR-02,-5.3,R+5.3
Alexandra Owensby,D,2020,KY-04,3.2,D+3.2
Alexandria Ocasio-Cortez,D,2024,NY-14,-1.5,R+1.5
Alexis Johnson,R,2020,NM-03,-0.5,D+0.5
Alexis Martinez Johnson,R,2022,NM-03,-5.4,D+5.4
Alfe Goodwin,R,2024,PA-05,-0.5,D+0.5
Alieta Eck,R,2014,NJ-12,0.4,R+0.4
Alina Valdes,D,2016,FL-25,-4.3,R+4.3
Aliscia Andrews,R,2020,VA-10,4.4,R+4.4
Alison Esposito,R,2024,NY-18,-8.1,D+8.1
Alison Hayden,R,2022,CA-14,2.3,R+2.3
Allan Fung,R,2022,RI-02,3.8,R+3.8
Allan Romaguera,R,2016,NY-07,-1.9,D+1.9
Allen Ellison,D,2020,FL-17,0.4,D+0.4
Allen Hardwick,R,2014,MI-05,-12.2,D+12.2
Allen Waters,R,2024,RI-01,-6.3,D+6.3
Alma Adams,D,2024,NC-12,-0.3,R+0.3
Alyse Galvin (Ind),D,2020,AK-AL,5.7,D+5.7
Amanda Adkins,R,2022,KS-03,-6.4,D+6.4
Amanda Howland,D,2016,IL-06,-9.4,R+9.4
Amanda Renteria,D,2014,CA-21,-10.2,R+10.2
Amanda Stuck,D,2020,WI-08,-8.0,R+8
Amanda Waldman,D,2024,PA-09,0.2,D+0.2
Ameer Benno,R,2018,NY-04,-2.0,D+2
Ami Bera,D,2024,CA-06,-0.9,R+0.9
Amie Hoeber,R,2018,MD-06,1.0,R+1
Amish Shah,D,2024,AZ-01,4.0,D+4
Ammar Campa-Najjar,D,2020,CA-50,4.0,D+4
Amos Powers,D,2014,TN-06,1.2,D+1.2
